# This file was produced by samtools stats (1.21+htslib-1.21) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats -@ 8 /maps/projects/course_1/scratch/group8/group-project-group-8/week18-preprocessing/retry/02_reads_preprocessing/gut_adult/ERR2641733/ERR2641733.host.bam
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	fbc43972	650214e5	243a7e7b
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	39329454	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	39329454
SN	is sorted:	1
SN	1st fragments:	19664727
SN	last fragments:	19664727
SN	reads mapped:	10261
SN	reads mapped and paired:	10068	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	39319193
SN	reads properly paired:	10036	# proper-pair bit set
SN	reads paired:	39329454	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	245	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	0
SN	total length:	5897206765	# ignores clipping
SN	total first fragment length:	2948678288	# ignores clipping
SN	total last fragment length:	2948528477	# ignores clipping
SN	bases mapped:	1534709	# ignores clipping
SN	bases mapped (cigar):	1534709	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	13321	# from NM fields
SN	error rate:	8.679821e-03	# mismatches / bases mapped (cigar)
SN	average length:	150
SN	average first fragment length:	150
SN	average last fragment length:	150
SN	maximum length:	150
SN	maximum first fragment length:	150
SN	maximum last fragment length:	150
SN	average quality:	37.3
SN	insert size average:	281.3
SN	insert size standard deviation:	59.5
SN	inward oriented pairs:	5009
SN	outward oriented pairs:	14
SN	pairs with other orientation:	2
SN	pairs on different chromosomes:	9
SN	percentage of properly paired reads (%):	0.0
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	1	0	0	372308	0	0	0	0	0	0	0	0	0	230165	0	0	0	0	0	0	0	0	0	1	0	0	0	0	399034	0	0	0	0	18663219	0	0	0	0	0	0	0	0	0	0
FFQ	2	0	0	0	0	0	0	0	0	0	0	0	0	230964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	419573	0	0	0	0	19014156	0	0	0	0	34	0	0	0	0	0
FFQ	3	0	0	0	0	0	0	0	0	0	0	0	0	220156	0	0	0	0	0	0	0	0	0	30	0	0	0	0	419123	0	0	0	0	3718893	0	0	0	0	15306525	0	0	0	0	0
FFQ	4	0	0	0	0	0	0	0	0	0	0	0	0	199630	0	0	0	0	0	0	0	0	0	24199	0	0	0	0	358675	0	0	0	0	1319286	0	0	0	0	17762937	0	0	0	0	0
FFQ	5	0	0	0	0	0	0	0	0	0	0	0	0	145081	0	0	0	0	0	0	0	0	0	50056	0	0	0	0	247226	0	0	0	0	785659	0	0	0	0	18436705	0	0	0	0	0
FFQ	6	0	0	0	0	0	0	0	0	0	0	0	0	108952	0	0	0	0	0	0	0	0	0	47921	0	0	0	0	190585	0	0	0	0	590127	0	0	0	0	1676552	0	0	0	17050590	0
FFQ	7	0	0	0	0	0	0	0	0	0	0	0	0	102558	0	0	0	0	0	0	0	0	0	48959	0	0	0	0	180560	0	0	0	0	532347	0	0	0	0	1450224	0	0	0	17350079	0
FFQ	8	0	0	155	0	0	0	0	0	0	0	0	0	97168	0	0	0	0	0	0	0	0	0	50011	0	0	0	0	165673	0	0	0	0	498787	0	0	0	0	1322804	0	0	0	17530129	0
FFQ	9	0	0	0	0	0	0	0	0	0	0	0	0	97677	0	0	0	0	0	0	0	0	0	56917	0	0	0	0	153010	0	0	0	0	494127	0	0	0	0	1316496	0	0	0	17546500	0
FFQ	10	0	0	0	0	0	0	0	0	0	0	0	0	100165	0	0	0	0	0	0	0	0	0	61074	0	0	0	0	158865	0	0	0	0	502974	0	0	0	0	1322028	0	0	0	17519621	0
