#mpa_vJun23_CHOCOPhlAnSGB_202403
#/opt/software/metaphlan/4.1.1/venv/bin/metaphlan /maps/projects/course_1/scratch/group8/group-project-group-8/week18-preprocessing/retry/03_metaphlan_abd/gut_adult/ERR2641733/tmp_decompressed_1MHhOE/ERR2641733_1.fq,/maps/projects/course_1/scratch/group8/group-project-group-8/week18-preprocessing/retry/03_metaphlan_abd/gut_adult/ERR2641733/tmp_decompressed_1MHhOE/ERR2641733_2.fq --bowtie2out /maps/projects/course_1/scratch/group8/group-project-group-8/week18-preprocessing/retry/03_metaphlan_abd/gut_adult/ERR2641733/ERR2641733.mapout.bz2 --bowtie2db /maps/datasets/globe_databases/metaphlan/20241118 --index mpa_vJun23_CHOCOPhlAnSGB_202403 --nproc 11 --input_type fastq -o /maps/projects/course_1/scratch/group8/group-project-group-8/week18-preprocessing/retry/03_metaphlan_abd/gut_adult/ERR2641733/ERR2641733_metaphlan.txt
#39315832 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	99.78442	
k__Eukaryota	2759	0.11793	
k__Archaea	2157	0.09765	
k__Bacteria|p__Firmicutes	2|1239	60.91635	
k__Bacteria|p__Bacteroidota	2|976	24.8971	
k__Bacteria|p__Actinobacteria	2|201174	12.55742	
k__Bacteria|p__Proteobacteria	2|1224	0.69929	
k__Bacteria|p__Verrucomicrobia	2|74201	0.4386	
k__Bacteria|p__Lentisphaerae	2|256845	0.27022	
k__Eukaryota|p__Eukaryota_unclassified	2759|	0.11793	
k__Archaea|p__Euryarchaeota	2157|28890	0.09765	
k__Bacteria|p__Synergistetes	2|508458	0.00544	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	49.70284	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	24.77237	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	9.2577	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	2.24309	
k__Bacteria|p__Firmicutes|c__CFGB79294	2|1239|	2.01152	
k__Bacteria|p__Firmicutes|c__CFGB14936	2|1239|	1.82454	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.78527	
k__Bacteria|p__Firmicutes|c__CFGB2942	2|1239|	0.7373	
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	0.67867	
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.64413	
k__Bacteria|p__Actinobacteria|c__CFGB2992	2|201174|	0.5914	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.58011	
k__Bacteria|p__Firmicutes|c__CFGB2982	2|1239|	0.56089	
k__Bacteria|p__Firmicutes|c__CFGB10477	2|1239|	0.54272	
k__Bacteria|p__Actinobacteria|c__CFGB77988	2|201174|	0.46523	
k__Bacteria|p__Firmicutes|c__CFGB2890	2|1239|	0.42245	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.36974	
k__Bacteria|p__Firmicutes|c__CFGB9989	2|1239|	0.32928	
k__Bacteria|p__Firmicutes|c__CFGB3062	2|1239|	0.28554	
k__Bacteria|p__Firmicutes|c__CFGB10309	2|1239|	0.21153	
k__Bacteria|p__Firmicutes|c__CFGB3038	2|1239|	0.17772	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.16596	
k__Bacteria|p__Firmicutes|c__CFGB3041	2|1239|	0.15119	
k__Bacteria|p__Lentisphaerae|c__CFGB2378	2|256845|	0.15041	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.1465	
k__Bacteria|p__Firmicutes|c__CFGB3069	2|1239|	0.12143	
k__Bacteria|p__Bacteroidota|c__CFGB668	2|976|	0.12022	
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria	2|256845|1313211	0.11981	
k__Eukaryota|p__Eukaryota_unclassified|c__Bigyra	2759||2683628	0.11793	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.11737	
k__Bacteria|p__Firmicutes|c__CFGB2881	2|1239|	0.11054	
k__Bacteria|p__Firmicutes|c__CFGB79237	2|1239|	0.10369	
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.09765	
k__Bacteria|p__Firmicutes|c__CFGB1359	2|1239|	0.09347	
k__Bacteria|p__Firmicutes|c__CFGB3048	2|1239|	0.09341	
k__Bacteria|p__Firmicutes|c__CFGB9583	2|1239|	0.08835	
k__Bacteria|p__Firmicutes|c__CFGB1226	2|1239|	0.08773	
k__Bacteria|p__Firmicutes|c__CFGB2834	2|1239|	0.07529	
k__Bacteria|p__Verrucomicrobia|c__Opitutae	2|74201|414999	0.06885	
k__Bacteria|p__Firmicutes|c__CFGB2930	2|1239|	0.06287	
k__Bacteria|p__Firmicutes|c__CFGB3072	2|1239|	0.05551	
k__Bacteria|p__Firmicutes|c__CFGB1211	2|1239|	0.05499	
k__Bacteria|p__Firmicutes|c__CFGB3070	2|1239|	0.04261	
k__Bacteria|p__Firmicutes|c__CFGB4559	2|1239|	0.04154	
k__Bacteria|p__Firmicutes|c__CFGB75721	2|1239|	0.04069	
k__Bacteria|p__Firmicutes|c__CFGB1249	2|1239|	0.03773	
k__Bacteria|p__Firmicutes|c__CFGB2952	2|1239|	0.03541	
k__Bacteria|p__Firmicutes|c__CFGB3023	2|1239|	0.03061	
k__Bacteria|p__Firmicutes|c__CFGB2985	2|1239|	0.03028	
k__Bacteria|p__Firmicutes|c__CFGB1380	2|1239|	0.02934	
k__Bacteria|p__Firmicutes|c__CFGB2936	2|1239|	0.02923	
k__Bacteria|p__Firmicutes|c__CFGB52309	2|1239|	0.02453	
k__Bacteria|p__Firmicutes|c__CFGB1011	2|1239|	0.02252	
