#mpa_vJun23_CHOCOPhlAnSGB_202403
#/opt/software/metaphlan/4.1.1/venv/bin/metaphlan /maps/projects/course_1/scratch/group8/group-project-group-8/week18-preprocessing/retry/03_metaphlan_abd/vaginal/SRR513791/tmp_decompressed_WG2VxW/SRR513791_1.fq,/maps/projects/course_1/scratch/group8/group-project-group-8/week18-preprocessing/retry/03_metaphlan_abd/vaginal/SRR513791/tmp_decompressed_WG2VxW/SRR513791_2.fq --bowtie2out /maps/projects/course_1/scratch/group8/group-project-group-8/week18-preprocessing/retry/03_metaphlan_abd/vaginal/SRR513791/SRR513791.mapout.bz2 --bowtie2db /maps/datasets/globe_databases/metaphlan/20241118 --index mpa_vJun23_CHOCOPhlAnSGB_202403 --nproc 11 --input_type fastq -o /maps/projects/course_1/scratch/group8/group-project-group-8/week18-preprocessing/retry/03_metaphlan_abd/vaginal/SRR513791/SRR513791_metaphlan.txt
#5626431 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	100.0	
k__Bacteria|p__Firmicutes	2|1239	99.12949	
k__Bacteria|p__Actinobacteria	2|201174	0.4939	
k__Bacteria|p__Tenericutes	2|544448	0.19927	
k__Bacteria|p__Proteobacteria	2|1224	0.17042	
k__Bacteria|p__Bacteroidota	2|976	0.00692	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	99.1025	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.4939	
k__Bacteria|p__Tenericutes|c__Mollicutes	2|544448|31969	0.19927	
k__Bacteria|p__Proteobacteria|c__CFGB2428	2|1224|	0.12511	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.04531	
k__Bacteria|p__Firmicutes|c__Tissierellia	2|1239|1737404	0.02699	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	0.00692	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	99.08212	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	2|201174|1760|85007	0.39147	
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales	2|544448|31969|2085	0.19927	
k__Bacteria|p__Proteobacteria|c__CFGB2428|o__OFGB2428	2|1224||	0.12511	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	2|201174|1760|2037	0.09763	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.04531	
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	2|1239|1737404|1737405	0.02699	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0.02038	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	0.00692	
