Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
ERR2641635_bin.10	77.21	18.11	Neural Network (Specific Model)	11	0.882	106094	353.7059118236473	2397638	0.6	1996	34	598462	None
ERR2641635_bin.11	91.41	0.05	Neural Network (Specific Model)	11	0.841	11432	316.9450121654501	2319030	0.57	2055	267	44740	None
ERR2641635_bin.12	6.49	0.03	Neural Network (Specific Model)	11	0.891	19505	256.0982905982906	201172	0.53	234	19	64753	None
ERR2641635_bin.13	91.4	0.86	Neural Network (Specific Model)	11	0.907	63781	318.1881589618816	2590906	0.44	2466	61	171248	None
ERR2641635_bin.14	85.43	1.35	Gradient Boost (General Model)	11	0.883	23492	335.46811279826466	2622402	0.44	2305	175	83813	None
ERR2641635_bin.17	18.96	0.01	Neural Network (Specific Model)	11	0.906	106548	347.6179487179487	448467	0.62	390	11	123907	None
ERR2641635_bin.19	67.05	3.08	Neural Network (Specific Model)	11	0.882	4602	285.12513842746404	1749492	0.61	1806	432	49933	None
ERR2641635_bin.21	81.68	17.17	Neural Network (Specific Model)	11	0.895	6848	295.11933260790715	2722473	0.44	2757	518	30772	None
ERR2641635_bin.23	68.34	4.62	Neural Network (Specific Model)	11	0.882	34059	322.7	1710886	0.61	1560	81	71239	None
ERR2641635_bin.26	8.04	0.1	Neural Network (Specific Model)	11	0.857	7034	246.19272727272727	236263	0.45	275	40	25140	None
ERR2641635_bin.28	46.21	1.96	Gradient Boost (General Model)	11	0.888	3628	253.95404814004377	1173900	0.6	1371	360	11660	None
ERR2641635_bin.3	41.57	0.11	Neural Network (Specific Model)	11	0.898	213323	328.1653439153439	827252	0.59	756	5	274123	None
ERR2641635_bin.30	54.86	0.06	Gradient Boost (General Model)	11	0.93	3464	270.09090909090907	1003751	0.48	1155	319	12488	None
ERR2641635_bin.36	96.91	4.22	Neural Network (Specific Model)	11	0.89	78301	330.0358350236646	3284667	0.43	2958	79	389603	None
ERR2641635_bin.37	73.71	24.98	Neural Network (Specific Model)	11	0.899	26329	326.8800705467372	2470630	0.42	2268	158	73267	None
ERR2641635_bin.4	8.4	0.09	Neural Network (Specific Model)	11	0.86	31502	273.4297872340426	223285	0.48	235	16	43873	None
ERR2641635_bin.40	29.63	0.03	Neural Network (Specific Model)	11	0.903	22424	310.5219858156028	725757	0.5	705	60	69963	None
ERR2641635_bin.41	78.38	0.17	Neural Network (Specific Model)	11	0.893	22482	336.5092807424594	1946453	0.43	1724	131	72235	None
ERR2641635_bin.42	76.79	2.66	Neural Network (Specific Model)	11	0.911	7695	302.17582897033157	2277321	0.38	2292	380	45697	None
ERR2641635_bin.43	13.09	0.02	Neural Network (Specific Model)	11	0.858	36313	295.0191489361702	483901	0.41	470	25	59685	None
ERR2641635_bin.45	83.25	0.23	Neural Network (Specific Model)	11	0.925	5505	308.17472698907955	1918476	0.37	1923	438	22478	None
ERR2641635_bin.46	59.96	0.18	Neural Network (Specific Model)	11	0.909	124151	364.46189279731993	2867737	0.44	2388	36	240482	None
ERR2641635_bin.49	82.18	0.86	Neural Network (Specific Model)	11	0.906	199811	382.41634491634494	3932740	0.41	3108	46	615599	None
ERR2641635_bin.5	45.8	0.06	Neural Network (Specific Model)	11	0.873	147299	392.04415584415585	1036015	0.6	770	9	409111	None
ERR2641635_bin.50	98.62	0.46	Gradient Boost (General Model)	11	0.9	51365	296.94939493949397	1795368	0.46	1818	46	139750	None
ERR2641635_bin.51	6.84	0.02	Neural Network (Specific Model)	11	0.86	9631	295.83093525179856	286666	0.36	278	37	34407	None
ERR2641635_bin.53	90.4	2.54	Gradient Boost (General Model)	11	0.898	22953	279.09724186704386	2630225	0.29	2828	221	72089	None
ERR2641635_bin.54	80.36	0.95	Neural Network (Specific Model)	11	0.875	27290	315.1840978593272	1765839	0.6	1635	96	72630	None
ERR2641635_bin.56	54.89	8.4	Neural Network (Specific Model)	11	0.867	2874	268.33595671421546	1884994	0.38	2033	675	11535	None
ERR2641635_bin.58	5.4	0.0	Neural Network (Specific Model)	11	0.917	48204	294.42857142857144	235576	0.48	245	5	100172	None
ERR2641635_bin.6	97.11	7.48	Neural Network (Specific Model)	11	0.901	45918	307.87974882260596	3260108	0.41	3185	132	132672	None
ERR2641635_bin.60	95.71	1.52	Gradient Boost (General Model)	11	0.895	51132	311.4024468770122	1618215	0.28	1553	55	140276	None
ERR2641635_bin.61	99.81	3.4	Neural Network (Specific Model)	11	0.852	63079	333.250501002004	2925271	0.37	2495	83	133744	None
ERR2641635_bin.62	87.38	9.09	Neural Network (Specific Model)	11	0.863	20628	314.8145488604433	3498944	0.42	3203	274	114554	None
ERR2641635_bin.63	5.38	0.0	Neural Network (Specific Model)	11	0.878	37092	305.1485148514852	210070	0.47	202	6	57470	None
ERR2641635_bin.64	12.98	0.01	Neural Network (Specific Model)	11	0.869	293039	339.6461038961039	360418	0.61	308	2	293039	None
